Дата;Товар;Менеджер;Продано штук;Сумма продажи;Рекламный канал;Город доставки
01.01.2020;Системный блок;Иванов;7;350000;Вконтакте;Москва
02.01.2020;Клавиутара и мышь;Петров;8;40000;Вконтакте;Москва
03.01.2020;Системный блок;Борисов;9;450000;Вконтакте;Краснодар
04.01.2020;Клавиутара и мышь;Петров;6;30000;Instagram;Москва
05.01.2020;Монитор;Борисов;7;140000;SMS-рассылка;Москва
06.01.2020;Наушники;Петров;9;90000;Facebook;Москва
07.01.2020;Монитор;Иванов;11;220000;Instagram;Екатеринбург
08.01.2020;Ноутбук;Борисов;14;840000;Facebook;Краснодар
09.01.2020;Системный блок;Борисов;13;650000;Facebook;Екатеринбург
10.01.2020;Системный блок;Семенов;8;400000;Яндекс.Директ;Пермь
11.01.2020;Системный блок;Петров;8;400000;Вконтакте;Санкт-Петербург
12.01.2020;Монитор;Петров;6;120000;Email-рассылка;Москва
13.01.2020;Ноутбук;Петров;13;780000;Google Adwords;Москва
14.01.2020;Наушники;Борисов;5;50000;SMS-рассылка;Самара
15.01.2020;Системный блок;Иванов;6;300000;Вконтакте;Краснодар
16.01.2020;Системный блок;Петров;5;250000;Instagram;Екатеринбург
17.01.2020;Монитор;Иванов;8;160000;Google Adwords;Санкт-Петербург
18.01.2020;Клавиутара и мышь;Петров;7;35000;Email-рассылка;Москва
19.01.2020;Системный блок;Иванов;15;750000;Яндекс.Директ;Санкт-Петербург
20.01.2020;Ноутбук;Петров;12;720000;Instagram;Москва
21.01.2020;Наушники;Петров;6;60000;Вконтакте;Пермь
22.01.2020;Системный блок;Петров;10;500000;Instagram;Екатеринбург
23.01.2020;Системный блок;Петров;7;350000;Google Adwords;Краснодар
24.01.2020;Клавиутара и мышь;Иванов;15;75000;Вконтакте;Санкт-Петербург
25.01.2020;Наушники;Борисов;9;90000;Google Adwords;Москва
26.01.2020;Клавиутара и мышь;Семенов;11;55000;Email-рассылка;Москва
27.01.2020;Монитор;Борисов;5;100000;Вконтакте;Москва
28.01.2020;Системный блок;Иванов;14;700000;Google Adwords;Санкт-Петербург
